Category,iPhone,YOY growth
Q1/08,0.8170000000000001,
Q1/09,2.427,197.06
Q1/10,5.445,124.35
Q1/11,12.052999999999999,121.36
Q1/12,22.276,84.82
Q1/13,22.955,3.05
Q1/14,26.064,13.54
Q1/15,40.282,54.55
Q1/16,32.857,-18.43
Q1/17,33.249,1.19
Q1/18,37.559,12.96
Q1/19,31.051,-17.33
Q2/07,0.141,
Q2/08,0.483,242.55
Q2/09,3.06,533.54
Q2/10,5.334,74.31
Q2/11,13.102,145.63
Q2/12,15.821,20.75
Q2/13,18.154,14.75
Q2/14,19.750999999999998,8.8
Q2/15,31.368000000000002,58.82
Q2/16,24.048000000000002,-23.34
Q2/17,24.846,3.32
Q2/18,29.47,18.61
Q2/19,25.986,-11.82
Q3/07,0.489,
Q3/08,4.406000000000001,801.02
Q3/09,4.606,4.54
Q3/10,8.822000000000001,91.53
Q3/11,10.604000000000001,20.2
Q3/12,16.645,56.97
Q3/13,19.51,17.21
Q3/14,23.678,21.36
Q3/15,32.209,36.03
Q3/16,28.16,-12.57
Q3/17,28.846,2.44
Q3/18,36.755,27.42
Q3/19,33.361999999999995,-9.23
Q4/07,1.036,
Q4/08,2.94,183.78
Q4/09,5.577999999999999,89.73
Q4/10,10.238999999999999,83.56
Q4/11,23.95,133.91
Q4/12,30.66,28.02
Q4/13,32.498000000000005,5.99
Q4/14,51.181999999999995,57.49
Q4/15,51.635,0.89
Q4/16,54.378,5.31
Q4/17,61.104,12.37
Q4/18,51.982,-14.93
Q4/19,55.957,7.65
Q1/08,1.703,
Q1/09,3.793,122.72
Q1/10,8.752,130.74
Q1/11,18.647000000000002,113.06
Q1/12,35.064,88.04
Q1/13,37.43,6.75
Q1/14,43.718999999999994,16.8
Q1/15,61.17,39.92
Q1/16,51.193000000000005,-16.31
Q1/17,50.763000000000005,-0.84
Q1/18,52.217,2.86
Q2/07,0.27,
Q2/08,0.7170000000000001,165.56
Q2/09,5.207999999999999,626.36
Q2/10,8.398,61.25
Q2/11,20.338,142.18
Q2/12,26.028000000000002,27.98
Q2/13,31.241,20.03
Q2/14,35.203,12.68
Q2/15,47.534,35.03
Q2/16,40.399,-15.01
Q2/17,41.026,1.55
Q2/18,41.3,0.67
Q3/07,1.119,
Q3/08,6.892,515.91
Q3/09,7.367000000000001,6.89
Q3/10,14.102,91.42
Q3/11,17.073,21.07
Q3/12,26.91,57.62
Q3/13,33.797,25.59
Q3/14,39.272,16.2
Q3/15,48.04600000000001,22.34
Q3/16,45.513000000000005,-5.27
Q3/17,46.677,2.56
Q3/18,46.888999999999996,0.45
Q4/07,2.315,
Q4/08,4.363,88.47
Q4/09,8.737,100.25
Q4/10,16.235,85.82
Q4/11,37.044000000000004,128.17
Q4/12,47.788999999999994,29.01
Q4/13,51.025,6.77
Q4/14,74.468,45.94
Q4/15,74.779,0.42
Q4/16,78.29,4.7
Q4/17,77.316,-1.24
